id    ,name_en_CA                           ,name_fr_CA                           ,lat             ,lon              ,region,timeZone,compositeStation,stationType,province,city                    ,address                                            ,altitude,environment,aqhiAlgorithm,calculateHistory,forecastCentre,grouping,sortOrder
10102 ,St. John's                           ,St. John's                           ,47.56           ,-52.7113888888889,1     ,2       ,                ,1          ,1       ,St. John's              ,354 WATER STREET                                   ,14.0    ,1          ,1            ,1               ,1             ,        ,1
10401 ,Mount Pearl                          ,Mount Pearl                          ,47.5051277777778,-52.7947611111111,1     ,2       ,                ,1          ,1       ,Mount Pearl             ,OLD PLACENTIA ROAD                                 ,155.2   ,2          ,1            ,1               ,1             ,        ,2
10501 ,Grand Falls - Windsor                ,Grand Falls - Windsor                ,48.9269444444444,-55.6597222222222,1     ,2       ,                ,1          ,1       ,Grand Falls - Windsor   ,SCOTT AVENUE                                       ,60.0    ,1          ,1            ,1               ,1             ,        ,4
10601 ,Goose Bay                            ,Goose Bay                            ,53.30472        ,-60.36444        ,1     ,2       ,                ,1          ,1       ,Happy Valley - Goose Bay,Abbott Drive                                       ,43.0    ,2          ,             ,0               ,1             ,        ,7
10602 ,Corner Brook                         ,Corner Brook                         ,48.95224        ,-57.92207        ,1     ,2       ,                ,1          ,1       ,Corner Brook            ,Macpherson Avenue                                  ,99.0    ,2          ,1            ,1               ,1             ,        ,5
10801 ,Port au Choix                        ,Port au Choix                        ,50.71124        ,-57.36365        ,1     ,2       ,                ,1          ,1       ,Port au Choix           ,Port au Choix                                      ,13.0    ,5          ,             ,0               ,1             ,        ,6
10901 ,Marystown/Burin                      ,Marystown/Burin                      ,47.09899        ,-55.19852        ,1     ,2       ,                ,1          ,1       ,Burin                   ,                                                   ,1.0     ,5          ,1            ,1               ,1             ,        ,3
11002 ,FIREHALL-LABRADORCITY2               ,FIREHALL-LABRADORCITY2               ,52.945487       ,-66.910306       ,1     ,3       ,                ,1          ,1       ,Labrador City           ,317 Hudson Drive                                   ,558.0   ,2          ,1            ,1               ,1             ,        ,8
20104 ,Charlottetown                        ,Charlottetown                        ,46.233          ,-63.13667        ,1     ,3       ,                ,1          ,2       ,Charlottetown           ,3 BRIGHTON ROAD                                    ,58.87   ,1          ,1            ,1               ,2             ,        ,10
20301 ,Wellington                           ,Wellington                           ,46.45           ,-64.0            ,1     ,3       ,                ,1          ,2       ,Wellington              ,40 HACKMATACK RD. (ROUTE 125)                      ,35.04   ,4          ,1            ,1               ,2             ,        ,9
20401 ,Southampton                          ,Southampton                          ,46.38752        ,-62.58122        ,1     ,3       ,                ,1          ,2       ,Southampton             ,2580 CARDIGAN ROAD (ROUTE 313)                     ,        ,4          ,1            ,1               ,2             ,        ,11
30001 ,Halifax Downtown                     ,Halifax - centre-ville               ,44.647          ,-63.574          ,1     ,3       ,                ,1          ,3       ,Halifax                 ,1672 GRANVILLE STREET                              ,29.0    ,1          ,1            ,1               ,2             ,        ,17
30113 ,Johnston Building                    ,Johnston Building                    ,44.647          ,-63.574          ,1     ,3       ,30001           ,1          ,3       ,Halifax                 ,1672 GRANVILLE STREET                              ,29.0    ,1          ,             ,0               ,2             ,        ,19
30120 ,Lake Major                           ,Lake Major                           ,44.71969        ,-63.48162        ,1     ,3       ,                ,1          ,3       ,Dartmouth               ,Cherrybrook Road                                   ,69.0    ,2          ,1            ,1               ,2             ,        ,20
30201 ,Port Hawkesbury                      ,Port Hawkesbury                      ,45.61394        ,-61.36235        ,1     ,3       ,                ,1          ,3       ,Port Hawkesbury         ,Embree & Granville                                 ,23.0    ,1          ,1            ,1               ,2             ,        ,22
30310 ,Sydney (Welton Street)               ,Sydney (Welton Street)               ,46.14222        ,-60.17252        ,1     ,3       ,                ,1          ,3       ,Sydney                  ,71 Welton Street                                   ,30.0    ,1          ,1            ,1               ,2             ,        ,23
30502 ,Kejimkujik Site B                    ,Kejimkujik Site B                    ,44.40298        ,-65.20277        ,1     ,3       ,                ,1          ,3       ,                        ,                                                   ,128.0   ,5          ,             ,0               ,2             ,        ,14
30701 ,Aylesford Mountain                   ,Aylesford Mountain                   ,45.07267        ,-64.84033        ,1     ,3       ,                ,1          ,3       ,Aylesford               ,"MOUNTAIN BROW ROAD, KINGS COUNTY"                 ,264.0   ,6          ,             ,0               ,2             ,        ,15
30901 ,Pictou                               ,Pictou                               ,45.68167        ,-62.69664        ,1     ,3       ,                ,1          ,3       ,Pictou                  ,91 BEACHES ROAD                                    ,32.0    ,2          ,1            ,1               ,2             ,        ,21
31101 ,Kentville                            ,Kentville                            ,45.0666666666667,-64.4833333333333,1     ,3       ,                ,1          ,3       ,Kentville               ,32 MAIN STREET                                     ,51.5    ,4          ,1            ,1               ,2             ,        ,16
40104 ,Fredericton Needham                  ,Fredericton Needham                  ,45.957344       ,-66.645562       ,1     ,3       ,                ,1          ,4       ,Fredericton             ,486 Needham Street                                 ,25.0    ,2          ,1            ,1               ,2             ,        ,32
40203 ,Forest Hills                         ,Forest Hills                         ,45.30888        ,-66.00833        ,1     ,3       ,                ,1          ,4       ,Saint John              ,MOUNTAIN ROAD                                      ,153.0   ,2          ,1            ,1               ,2             ,        ,28
40207 ,West Side                            ,West Side                            ,45.25277        ,-66.08003        ,1     ,3       ,                ,1          ,4       ,Saint John              ,476 LANCASTER AVENUE W.                            ,54.0    ,2          ,1            ,1               ,2             ,        ,26
40209 ,Castle Street                        ,Castle Street                        ,45.2802777777778,-66.0561111111111,1     ,3       ,                ,1          ,4       ,Saint John              ,                                                   ,        ,1          ,1            ,1               ,2             ,        ,27
40302 ,Moncton                              ,Moncton                              ,46.10138        ,-64.78964        ,1     ,3       ,                ,1          ,4       ,Moncton                 ,5 THANET STREET                                    ,29.0    ,2          ,1            ,1               ,2             ,        ,31
40901 ,St. Andrews                          ,St. Andrews                          ,45.086912       ,-67.074036       ,1     ,3       ,                ,1          ,4       ,St. Andrews             ,BRANDY COVE ROAD                                   ,57.0    ,6          ,             ,0               ,2             ,        ,24
41302 ,Bathurst                             ,Bathurst                             ,47.6095277777778,-65.6335277777778,1     ,3       ,                ,1          ,4       ,Bathurst                ,1255 Rough Waters Drive                            ,54.0    ,           ,1            ,0               ,2             ,        ,35
41501 ,Edmundston Queen St.                 ,Edmundston rue Queen                 ,47.363195       ,-68.322302       ,1     ,3       ,                ,1          ,4       ,Edmundston              ,19 Queen St.                                       ,159.0   ,2          ,1            ,1               ,2             ,        ,33
49998 ,Campbellton                          ,Campbellton                          ,47.999336       ,-66.683511       ,1     ,3       ,                ,2          ,4       ,Campbellton             ,Campbellton                                        ,        ,           ,             ,0               ,2             ,        ,
50103 ,Saint-Jean-Baptiste                  ,Saint-Jean-Baptiste                  ,45.6408333333333,-73.4997222222222,2     ,4       ,                ,1          ,5       ,Montréal                ,"1050 A, BOUL. SAINT-JEAN-BAPTISTE"                ,        ,2          ,1            ,1               ,3             ,3       ,7
50109 ,Duncan & Décarie                     ,Duncan & Décarie                     ,45.5025         ,-73.66389        ,2     ,4       ,                ,1          ,5       ,Montréal                ,"2495 Duncan / Décarie, Mont-Royal"                ,        ,1          ,1            ,1               ,3             ,3       ,3
50113 ,Chomedey                             ,Chomedey                             ,45.5475         ,-73.74694        ,2     ,4       ,                ,1          ,5       ,Laval                   ,1160 BOUL PIE IX                                   ,49.0    ,2          ,1            ,0               ,3             ,3       ,12
50119 ,Bourassa                             ,Bourassa                             ,45.5216666666667,-73.4875         ,2     ,4       ,                ,1          ,5       ,Longueuil               ,FACE AU 1819 RUE VICTORIA                          ,34.0    ,2          ,1            ,0               ,3             ,3       ,15
50122 ,Parc Sorbonne                        ,Parc Sorbonne                        ,45.448663       ,-73.480819       ,2     ,4       ,                ,1          ,5       ,Brossard                ,8405 avenue Sorbonne                               ,17.0    ,2          ,1            ,1               ,3             ,3       ,14
50126 ,Sainte-Anne-de-Bellevue              ,Sainte-Anne-de-Bellevue              ,45.4266666666667,-73.9291666666667,2     ,4       ,                ,1          ,5       ,Montréal                ,"20965 CH. SAINTE-MARIE, STE-ANNEdB"               ,        ,2          ,1            ,1               ,3             ,3       ,1
50128 ,Aéroport de Montréal                 ,Aéroport de Montréal                 ,45.4680555555556,-73.7411111111111,2     ,4       ,                ,1          ,5       ,Montréal                ,"90-A rue Hervé-Saint-Martin, Dorval"              ,        ,1          ,1            ,1               ,3             ,3       ,2
50129 ,Rivière-des-Prairies                 ,Rivière-des-Prairies                 ,45.6517833      ,-73.5738         ,2     ,4       ,                ,1          ,5       ,Montréal                ,12400 WILFRID-OUELLETTE                            ,31.0    ,4          ,1            ,1               ,3             ,3       ,6
50131 ,Hochelaga-Maisonneuve                ,Hochelaga-Maisonneuve                ,45.53987        ,-73.54074        ,2     ,4       ,                ,1          ,5       ,Montréal                ,3250 STE-CATHERINE EST                             ,        ,1          ,             ,1               ,3             ,3       ,8
50133 ,Chenier                              ,Chenier                              ,45.60185        ,-73.54197        ,2     ,4       ,                ,1          ,5       ,Anjou                   ,8200A Rue Chenier                                  ,43.0    ,1          ,             ,1               ,3             ,3       ,5
50134 ,Saint-Joseph (Molson)                ,Saint-Joseph (Molson)                ,45.54271        ,-73.57176        ,2     ,4       ,                ,1          ,5       ,Montréal                ,2580 St-Joseph Est                                 ,46.0    ,           ,1            ,1               ,3             ,3       ,9
50135 ,Firehouse 17                         ,Caserne 17                           ,45.593325       ,-73.637328       ,2     ,4       ,                ,1          ,5       ,Montréal                ,4240 rue Charleroi                                 ,27.0    ,2          ,1            ,1               ,3             ,3       ,4
50136 ,St-Dominique                         ,St-Dominique                         ,45.5122194444   ,-73.5669222222   ,2     ,4       ,                ,1          ,5       ,Montréal                ,75 rue Ontario Est                                 ,42.0    ,1          ,1            ,1               ,3             ,3       ,11
50137 ,Parc Vaillant                        ,Parc Vaillant                        ,45.704754       ,-73.657777       ,2     ,4       ,                ,1          ,5       ,Terrebonne              ,905 rue Vaillant                                   ,30.0    ,2          ,1            ,1               ,3             ,3       ,13
50138 ,York-Roberval                        ,York-Roberval                        ,45.4645583333   ,-73.58275        ,2     ,4       ,                ,1          ,5       ,Montréal                ,1540 rue de Roberval                               ,25.0    ,2          ,1            ,1               ,3             ,3       ,10
50204 ,Hull (Île)                           ,Hull (Île)                           ,45.4369444444444,-75.7261111111111,2     ,4       ,                ,1          ,5       ,Gatineau                ,"255 St-Rédempteur, Hull"                          ,67.0    ,2          ,1            ,1               ,3             ,5       ,22
50308 ,Des Sables                           ,Des Sables                           ,46.8211111111111,-71.22083        ,2     ,4       ,                ,1          ,5       ,Québec                  ,600 RUE DES SABLES                                 ,22.0    ,2          ,1            ,1               ,3             ,14      ,44
50310 ,Saint-Charles Garnier                ,Saint-Charles Garnier                ,46.7969444444444,-71.2461111111111,2     ,4       ,                ,1          ,5       ,Québec                  ,1150 Boul. René-Lévesque O.                        ,82.0    ,2          ,1            ,1               ,3             ,14      ,43
50311 ,Parc Primevères                      ,Parc Primevères                      ,46.77416667     ,-71.36972222     ,2     ,4       ,                ,1          ,5       ,Québec                  ,1465 Rue Félix-Antione-Savard                      ,35.0    ,2          ,1            ,1               ,3             ,14      ,42
50404 ,Parc Cambron                         ,Parc Cambron                         ,45.4125         ,-71.874444       ,2     ,4       ,                ,1          ,5       ,Sherbrooke              ,"655, RUE PAPINEAU"                                ,211.0   ,2          ,             ,0               ,3             ,10      ,29
50504 ,Université Chicoutimi                ,Université Chicoutimi                ,48.41639        ,-71.0525         ,2     ,4       ,                ,1          ,5       ,Saguenay                ,"789 Coul. Des Étudiants, Chicoutimi"              ,80.0    ,2          ,             ,0               ,3             ,16      ,50
50604 ,Parc Tremblay                        ,Parc Tremblay                        ,48.23444        ,-78.98333        ,2     ,4       ,                ,1          ,5       ,Rouyin-Noranda          ,1570 RUE PARADIS                                   ,299.0   ,2          ,             ,0               ,3             ,9       ,27
50803 ,TROIS-RIVIERES-MEES                  ,TROIS-RIVIERES-MEES                  ,46.357175       ,-72.546187       ,2     ,4       ,                ,1          ,5       ,Trois-Rivières          ,"Mauricie English Elementary School, rue Whitehead",12.0    ,2          ,             ,0               ,3             ,3       ,37
51201 ,Frigon                               ,Frigon                               ,46.5544444444444,-72.73556        ,2     ,4       ,                ,1          ,5       ,Shawinigan              ,363 RUE FRIGON                                     ,120.0   ,3          ,             ,0               ,3             ,12      ,39
51501 ,Zéphirin                             ,Zéphirin                             ,46.0425         ,-72.66           ,2     ,4       ,                ,1          ,5       ,St-Zéphirin-de-Courval  ,701 RANG SAINT-MICHEL                              ,50.0    ,4          ,             ,0               ,3             ,11      ,32
52001 ,Charette                             ,Charette                             ,46.44111        ,-72.8927777777778,2     ,4       ,                ,1          ,5       ,Charette                ,AU NORD DU 170 2E RANG                             ,121.0   ,5          ,             ,0               ,3             ,12      ,38
52201 ,Saint-Simon                          ,Saint-Simon                          ,45.71583        ,-72.84028        ,2     ,4       ,                ,1          ,5       ,Saint-Simon             ,"Derrière le 83, 4e rang Est"                      ,45.0    ,4          ,             ,0               ,3             ,3       ,18
52301 ,Saint Faustin                        ,Saint Faustin                        ,46.035          ,-74.480833       ,2     ,4       ,                ,1          ,5       ,Saint-Faustin-Lac-Carré ,CHEMIN DU LAC (CARIBOU)                            ,416.0   ,4          ,             ,0               ,3             ,4       ,21
52401 ,La Pêche                             ,La Pêche                             ,45.6222222222222,-76.0177777777778,2     ,4       ,                ,1          ,5       ,La Pêche                ,LAC PHILIPPE - MASHAM                              ,211.0   ,5          ,             ,0               ,3             ,6       ,23
52701 ,Temiscaming                          ,Temiscaming                          ,46.7213889      ,-79.0997222      ,2     ,4       ,                ,1          ,5       ,Témiscaming             ,RUE BOUCHER                                        ,264.0   ,3          ,             ,0               ,3             ,8       ,25
52801 ,Auclair                              ,Auclair                              ,47.73333        ,-68.70722        ,2     ,4       ,                ,1          ,5       ,Auclair                 ,66 Rang St-Grégoire Nord                           ,325.0   ,5          ,             ,0               ,3             ,15      ,48
53201 ,Pémonca                              ,Pémonca                              ,48.80972        ,-72.73889        ,2     ,4       ,                ,1          ,5       ,La Doré                 ,"Route 167, La Doré"                               ,265.0   ,5          ,             ,0               ,3             ,17      ,51
53301 ,Deschambault-Ramco                   ,Deschambault-Ramco                   ,46.6822222222222,-71.9677777777778,2     ,4       ,                ,1          ,5       ,Deschambault            ,"334, 3 E RANG - DESHAMBAULT"                      ,22.0    ,4          ,             ,0               ,3             ,14      ,40
53501 ,François                             ,François                             ,47.0147222222222,-70.8644444444444,2     ,4       ,                ,1          ,5       ,Saint-François          ,"Face au 198 Royale, Île d'Orléans"                ,66.0    ,4          ,             ,1               ,3             ,14      ,46
53601 ,Notre-Dame du Rosaire                ,Notre-Dame du Rosaire                ,46.8508333333333,-70.4527777777778,2     ,4       ,                ,1          ,5       ,Notre-Dame-Du-Rosaire   ,RANG ST-LOUIS                                      ,424.0   ,5          ,             ,0               ,3             ,14      ,47
53701 ,Hilaire                              ,Hilaire                              ,45.82472        ,-70.85583        ,2     ,4       ,                ,1          ,5       ,St-Hilaire-De-Dorset    ,RANG DORSET                                        ,516.0   ,5          ,             ,0               ,3             ,10      ,31
53801 ,Tingwick                             ,Tingwick                             ,45.9075         ,-71.9491666666667,2     ,4       ,                ,1          ,5       ,Tingwick                ,CHEMIN RADAR ET WARWICK                            ,267.0   ,4          ,             ,0               ,3             ,11      ,33
53901 ,Édouard                              ,Édouard                              ,47.6472222222222,-72.29056        ,2     ,4       ,                ,1          ,5       ,Lac-Édouard             ,Derrière l'hôpital village                         ,371.0   ,5          ,             ,0               ,3             ,13      ,49
54102 ,Mont Sutton/Round Top Ridge          ,Mont Sutton/Round Top Ridge          ,45.0886111111111,-72.5569444444444,2     ,4       ,                ,1          ,5       ,Sutton                  ,MONT SUTTON/ROUND TOP RIDGE                        ,850.0   ,6          ,             ,0               ,3             ,10      ,52
54201 ,Chapais                              ,Chapais                              ,49.82222        ,-74.97639        ,2     ,4       ,                ,1          ,5       ,                        ,                                                   ,381.0   ,           ,             ,0               ,3             ,19      ,53
54401 ,Saint-Anicet                         ,Saint-Anicet                         ,45.1166666666667,-74.2833333333333,2     ,4       ,                ,1          ,5       ,Saint-Anicet            ,1128 DE LA GUERRE                                  ,53.0    ,4          ,1            ,1               ,3             ,3       ,16
54703 ,Bécancour                            ,Bécancour                            ,46.35           ,-72.4333333333333,2     ,4       ,                ,1          ,5       ,Bécancour               ,8310 Boul. Bécancour                               ,23.0    ,2          ,             ,0               ,3             ,11      ,35
54901 ,Ditton                               ,Ditton                               ,45.37389        ,-71.25           ,2     ,4       ,                ,1          ,5       ,La Patrie               ,RANG PETIT CANADA OUEST                            ,485.0   ,5          ,             ,0               ,3             ,10      ,30
55001 ,Mont Saint-Michel                    ,Mont Saint-Michel                    ,46.7686111111111,-75.4319444444444,2     ,4       ,                ,1          ,5       ,Ferme Neuve             ,215 4e Rang Gravel                                 ,268.0   ,5          ,             ,0               ,3             ,7       ,24
55101 ,Bell                                 ,Bell                                 ,48.4325         ,-77.19972        ,2     ,4       ,                ,1          ,5       ,Senneterre              ,Chemin Rivière Bell                                ,309.0   ,5          ,             ,0               ,3             ,9       ,26
55301 ,L'Acadie                             ,L'Acadie                             ,45.294166       ,-73.34888        ,2     ,4       ,                ,1          ,5       ,Saint-Jean-Sur-Richelieu,"FERME EXP., 1134 ROUTE 219"                       ,48.0    ,4          ,             ,0               ,3             ,3       ,17
55401 ,Roy                                  ,Roy                                  ,46.36246        ,-72.510093       ,2     ,4       ,                ,1          ,5       ,Trois-Rivière           ,Intersection des rues Dorval et Roy                ,20.0    ,2          ,             ,0               ,3             ,12      ,36
55501 ,Frelighsburg                         ,Frelighsburg                         ,45.05166        ,-72.86166        ,2     ,4       ,                ,1          ,5       ,Frelighsburg            ,FRELIGHSBURG                                       ,206.0   ,5          ,             ,0               ,3             ,10      ,54
55601 ,Mingan                               ,Mingan                               ,50.26666        ,-64.21666        ,2     ,4       ,                ,1          ,5       ,Mingan                  ,MINGAN                                             ,17.0    ,6          ,             ,0               ,3             ,18      ,55
55702 ,Parc Georges Maranda                 ,Parc Georges Maranda                 ,46.80598        ,-71.167448       ,2     ,4       ,                ,1          ,5       ,Lévis                   ,200 rue des Commandeurs                            ,106.0   ,2          ,1            ,1               ,3             ,14      ,45
60104 ,Ottawa Downtown                      ,Ottawa - centre-ville                ,45.434329       ,-75.676003       ,3     ,4       ,                ,1          ,6       ,Ottawa                  ,RIDEAU & WURTEMBURG                                ,88.0    ,1          ,1            ,1               ,4             ,        ,36
60204 ,Windsor Downtown                     ,Windsor - centre-ville               ,42.315778       ,-83.043667       ,3     ,4       ,                ,1          ,6       ,Windsor                 ,467 UNIVERSITY AVE. WEST                           ,191.0   ,1          ,1            ,1               ,4             ,        ,1
60211 ,Windsor West                         ,Windsor - ouest                      ,42.292889       ,-83.073139       ,3     ,4       ,                ,1          ,6       ,Windsor                 ,COLLEGE & SOUTH ST.                                ,187.0   ,2          ,1            ,1               ,4             ,        ,2
60304 ,Kingston                             ,Kingston                             ,44.219867       ,-76.521128       ,3     ,4       ,                ,1          ,6       ,Kingston                ,23 Beechgrove Lane                                 ,83.5    ,2          ,1            ,1               ,4             ,        ,34
60410 ,Toronto East                         ,Toronto - est                        ,43.747917       ,-79.274056       ,3     ,4       ,                ,1          ,6       ,Toronto                 ,LAWRENCE & KENNEDY                                 ,165.0   ,2          ,1            ,1               ,4             ,        ,24
60424 ,Toronto Downtown                     ,Toronto - centre-ville               ,43.662972       ,-79.388111       ,3     ,4       ,                ,1          ,6       ,Toronto                 ,BAY & WELLESLEY                                    ,113.0   ,1          ,1            ,1               ,4             ,        ,23
60430 ,Toronto West                         ,Toronto - ouest                      ,43.709444       ,-79.5435         ,3     ,4       ,                ,1          ,6       ,Toronto                 ,125 RESOURCES ROAD                                 ,133.0   ,1          ,1            ,1               ,4             ,        ,26
60434 ,Mississauga                          ,Mississauga                          ,43.54697        ,-79.65869        ,3     ,4       ,                ,1          ,6       ,Mississauga             ,3359 Mississauga Road North                        ,        ,           ,1            ,1               ,4             ,        ,18
60436 ,Hanlan's Point (Toronto Island)      ,Hanlan's Point (Toronto Island)      ,43.612222       ,-79.388778       ,3     ,4       ,                ,1          ,6       ,Toronto                 ,Toronto Island                                     ,75.0    ,5          ,1            ,1               ,4             ,        ,22
60437 ,York University                      ,York University                      ,43.767639       ,-79.505972       ,3     ,4       ,                ,1          ,6       ,Toronto                 ,Passy Crescent & Assiniboine Rd                    ,184.0   ,2          ,1            ,1               ,4             ,        ,25
60440 ,Toronto North                        ,Toronto North                        ,43.78047        ,-79.467372       ,3     ,4       ,                ,1          ,6       ,Toronto                 ,4905 Dufferin Street                               ,186.0   ,2          ,1            ,1               ,4             ,        ,20
60450 ,Brampton                             ,Brampton                             ,43.669911       ,-79.766589       ,3     ,4       ,                ,1          ,6       ,Brampton                ,109 McLaughlin Road South                          ,218.0   ,2          ,1            ,1               ,4             ,        ,21
60512 ,Hamilton Downtown                    ,Hamilton - centre-ville              ,43.257778       ,-79.861667       ,3     ,4       ,                ,1          ,6       ,Hamilton                ,ELGIN & KELLY                                      ,94.0    ,1          ,1            ,1               ,4             ,        ,13
60515 ,Hamilton West                        ,Hamilton Ouest                       ,43.257444       ,-79.90775        ,3     ,4       ,                ,1          ,6       ,Hamilton                ,Main St. W./hwy 403                                ,99.0    ,2          ,1            ,0               ,4             ,        ,15
60521 ,Hamilton Mountain                    ,Hamilton Mountain                    ,43.24132        ,-79.88941        ,3     ,4       ,                ,1          ,6       ,Hamilton                ,250 Fennell Ave. W.                                ,195.0   ,2          ,1            ,1               ,4             ,        ,14
